================ Training Loss (Tue Nov 30 15:21:13 2021) ================
(epoch: 5, iters: 20, time: 0.229, data: 0.372) G_GAN: 2.537 G_L1: 12.785 D_real: 0.513 D_fake: 0.013 
(epoch: 10, iters: 20, time: 0.229, data: 0.111) G_GAN: 1.538 G_L1: 7.057 D_real: 0.053 D_fake: 0.447 
(epoch: 15, iters: 20, time: 0.227, data: 0.096) G_GAN: 3.709 G_L1: 6.523 D_real: 0.065 D_fake: 0.030 
(epoch: 20, iters: 20, time: 0.330, data: 0.112) G_GAN: 0.947 G_L1: 2.124 D_real: 0.218 D_fake: 0.318 
(epoch: 25, iters: 20, time: 0.228, data: 0.089) G_GAN: 2.292 G_L1: 4.804 D_real: 0.211 D_fake: 0.090 
(epoch: 30, iters: 20, time: 0.227, data: 0.091) G_GAN: 2.319 G_L1: 2.726 D_real: 0.046 D_fake: 0.167 
(epoch: 35, iters: 20, time: 0.229, data: 0.090) G_GAN: 3.551 G_L1: 5.420 D_real: 0.089 D_fake: 0.032 
(epoch: 40, iters: 20, time: 0.381, data: 0.079) G_GAN: 3.364 G_L1: 5.064 D_real: 0.016 D_fake: 0.048 
(epoch: 45, iters: 20, time: 0.230, data: 0.092) G_GAN: 5.131 G_L1: 4.637 D_real: 0.017 D_fake: 0.014 
(epoch: 50, iters: 20, time: 0.229, data: 0.110) G_GAN: 5.464 G_L1: 1.065 D_real: 0.005 D_fake: 0.005 
(epoch: 55, iters: 20, time: 0.229, data: 0.093) G_GAN: 4.374 G_L1: 3.178 D_real: 0.001 D_fake: 0.018 
(epoch: 60, iters: 20, time: 0.433, data: 0.089) G_GAN: 0.881 G_L1: 1.737 D_real: 0.826 D_fake: 0.271 
(epoch: 65, iters: 20, time: 0.228, data: 0.100) G_GAN: 0.344 G_L1: 1.265 D_real: 1.671 D_fake: 0.182 
(epoch: 70, iters: 20, time: 0.229, data: 0.095) G_GAN: 3.335 G_L1: 4.924 D_real: 0.022 D_fake: 0.058 
(epoch: 75, iters: 20, time: 0.228, data: 0.094) G_GAN: 4.738 G_L1: 1.189 D_real: 0.002 D_fake: 0.011 
(epoch: 80, iters: 20, time: 0.475, data: 0.097) G_GAN: 6.364 G_L1: 6.452 D_real: 0.016 D_fake: 0.002 
(epoch: 85, iters: 20, time: 0.228, data: 0.094) G_GAN: 5.330 G_L1: 1.832 D_real: 0.002 D_fake: 0.006 
(epoch: 90, iters: 20, time: 0.231, data: 0.091) G_GAN: 5.582 G_L1: 6.407 D_real: 0.002 D_fake: 0.004 
(epoch: 95, iters: 20, time: 0.226, data: 0.080) G_GAN: 5.585 G_L1: 7.585 D_real: 0.002 D_fake: 0.005 
(epoch: 100, iters: 20, time: 0.646, data: 0.097) G_GAN: 4.221 G_L1: 5.900 D_real: 0.000 D_fake: 0.027 
(epoch: 105, iters: 20, time: 0.233, data: 0.113) G_GAN: 3.323 G_L1: 0.272 D_real: 1.290 D_fake: 0.027 
(epoch: 110, iters: 20, time: 0.228, data: 0.091) G_GAN: 5.702 G_L1: 3.765 D_real: 0.000 D_fake: 0.004 
(epoch: 115, iters: 20, time: 0.228, data: 0.089) G_GAN: 6.652 G_L1: 3.848 D_real: 0.001 D_fake: 0.002 
(epoch: 120, iters: 20, time: 0.594, data: 0.080) G_GAN: 2.304 G_L1: 0.212 D_real: 1.021 D_fake: 0.080 
(epoch: 125, iters: 20, time: 0.232, data: 0.109) G_GAN: 6.443 G_L1: 6.411 D_real: 0.001 D_fake: 0.002 
(epoch: 130, iters: 20, time: 0.226, data: 0.096) G_GAN: 0.567 G_L1: 9.598 D_real: 0.021 D_fake: 3.934 
(epoch: 135, iters: 20, time: 0.224, data: 0.098) G_GAN: 2.474 G_L1: 6.410 D_real: 0.047 D_fake: 0.103 
(epoch: 140, iters: 20, time: 0.653, data: 0.101) G_GAN: 2.427 G_L1: 6.019 D_real: 0.004 D_fake: 0.266 
(epoch: 145, iters: 20, time: 0.226, data: 0.090) G_GAN: 3.564 G_L1: 1.614 D_real: 0.128 D_fake: 0.063 
(epoch: 150, iters: 20, time: 0.223, data: 0.099) G_GAN: 1.331 G_L1: 2.700 D_real: 0.925 D_fake: 0.219 
(epoch: 155, iters: 20, time: 0.228, data: 0.100) G_GAN: 2.794 G_L1: 6.297 D_real: 0.201 D_fake: 0.087 
(epoch: 160, iters: 20, time: 0.721, data: 0.100) G_GAN: 1.461 G_L1: 2.022 D_real: 0.203 D_fake: 0.995 
(epoch: 165, iters: 20, time: 0.227, data: 0.101) G_GAN: 5.436 G_L1: 3.521 D_real: 0.189 D_fake: 0.005 
(epoch: 170, iters: 20, time: 0.229, data: 0.102) G_GAN: 0.900 G_L1: 2.482 D_real: 0.458 D_fake: 0.617 
(epoch: 175, iters: 20, time: 0.230, data: 0.100) G_GAN: 1.797 G_L1: 2.829 D_real: 0.008 D_fake: 0.265 
(epoch: 180, iters: 20, time: 0.770, data: 0.095) G_GAN: 5.929 G_L1: 4.100 D_real: 0.242 D_fake: 0.003 
(epoch: 185, iters: 20, time: 0.225, data: 0.098) G_GAN: 1.554 G_L1: 5.822 D_real: 0.010 D_fake: 0.322 
(epoch: 190, iters: 20, time: 0.228, data: 0.095) G_GAN: 1.885 G_L1: 3.787 D_real: 0.168 D_fake: 0.210 
(epoch: 195, iters: 20, time: 0.226, data: 0.093) G_GAN: 2.181 G_L1: 3.073 D_real: 1.550 D_fake: 0.122 
(epoch: 200, iters: 20, time: 0.955, data: 0.089) G_GAN: 0.772 G_L1: 3.450 D_real: 0.131 D_fake: 0.680 
